# opt_chain SPY | epoch 1785428740 | 2026-07-30 12:25:40 | spot 738.67 | exps 20260730 20260731 20260803 20260804 20260805 20260806 20260807 20260810 20260811 20260812 20260813 20260814 20260821
# fuente polygon_snapshot_v3 | greeks polygon_directo | iv polygon_directo | oi polygon_directo | vol day.volume(-1 si no cotizo) | bid/ask NO_ENTITLED(-1) | spot_src ibkr_bridge spot_edad_s 97 | band 0.1800 vencimientos 13 exp_hasta 2026-08-21
# strike right exp bid ask vol oi iv delta gamma
655.00 C 20260730 -1.00 -1.00 2 0 -1.0000 -1.0000 -1.000000
660.00 C 20260730 -1.00 -1.00 246 209 -1.0000 -1.0000 -1.000000
665.00 C 20260730 -1.00 -1.00 7 3 -1.0000 -1.0000 -1.000000
670.00 C 20260730 -1.00 -1.00 36 21 -1.0000 -1.0000 -1.000000
675.00 C 20260730 -1.00 -1.00 6 3 -1.0000 -1.0000 -1.000000
680.00 C 20260730 -1.00 -1.00 102 5 -1.0000 -1.0000 -1.000000
685.00 C 20260730 -1.00 -1.00 16 5 -1.0000 -1.0000 -1.000000
690.00 C 20260730 -1.00 -1.00 1 18 -1.0000 -1.0000 -1.000000
695.00 C 20260730 -1.00 -1.00 11 5 -1.0000 -1.0000 -1.000000
700.00 C 20260730 -1.00 -1.00 56 5 -1.0000 -1.0000 -1.000000
701.00 C 20260730 -1.00 -1.00 56 1 -1.0000 -1.0000 -1.000000
702.00 C 20260730 -1.00 -1.00 11 1 -1.0000 -1.0000 -1.000000
703.00 C 20260730 -1.00 -1.00 21 0 -1.0000 -1.0000 -1.000000
704.00 C 20260730 -1.00 -1.00 11 3 -1.0000 -1.0000 -1.000000
705.00 C 20260730 -1.00 -1.00 18 46 -1.0000 -1.0000 -1.000000
706.00 C 20260730 -1.00 -1.00 6 0 -1.0000 -1.0000 -1.000000
707.00 C 20260730 -1.00 -1.00 6 1 -1.0000 -1.0000 -1.000000
708.00 C 20260730 -1.00 -1.00 124 115 -1.0000 -1.0000 -1.000000
709.00 C 20260730 -1.00 -1.00 15 4 -1.0000 -1.0000 -1.000000
710.00 C 20260730 -1.00 -1.00 22 49 -1.0000 -1.0000 -1.000000
711.00 C 20260730 -1.00 -1.00 11 220 -1.0000 -1.0000 -1.000000
712.00 C 20260730 -1.00 -1.00 10 13 -1.0000 -1.0000 -1.000000
713.00 C 20260730 -1.00 -1.00 27 1 -1.0000 -1.0000 -1.000000
714.00 C 20260730 -1.00 -1.00 26 1 -1.0000 -1.0000 -1.000000
715.00 C 20260730 -1.00 -1.00 42 31 -1.0000 -1.0000 -1.000000
716.00 C 20260730 -1.00 -1.00 21 49 -1.0000 -1.0000 -1.000000
717.00 C 20260730 -1.00 -1.00 51 28 -1.0000 -1.0000 -1.000000
718.00 C 20260730 -1.00 -1.00 59 40 -1.0000 -1.0000 -1.000000
719.00 C 20260730 -1.00 -1.00 71 84 -1.0000 -1.0000 -1.000000
720.00 C 20260730 -1.00 -1.00 165 202 -1.0000 -1.0000 -1.000000
721.00 C 20260730 -1.00 -1.00 205 321 -1.0000 -1.0000 -1.000000
722.00 C 20260730 -1.00 -1.00 109 150 -1.0000 -1.0000 -1.000000
